Nov 19, 2020  12:42:02 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.24E-004 
Filament Current, 1.00, mAmps


 52.60,   8.92E-010, 
 52.70,   1.73E-009, 
 52.80,   2.93E-009, 
 52.90,   4.35E-009, 
 53.00,   5.73E-009, 
 53.10,   6.41E-009, 
 53.20,   6.64E-009, 
 53.30,   6.56E-009, 
 53.40,   5.26E-009, 
 53.50,   2.59E-009, 
 53.60,   1.28E-009, 
 53.70,   1.71E-009, 
 53.80,   2.57E-009, 
 53.90,   3.38E-009, 
 54.00,   4.59E-009, 
 54.10,   5.37E-009, 
 54.20,   5.91E-009, 
 54.30,   5.68E-009, 
 54.40,   4.79E-009, 
 54.50,   2.75E-009, 
 54.60,   1.82E-009, 
 54.70,   3.68E-009, 
 54.80,   7.15E-009, 
 54.90,   1.06E-008, 
 55.00,   1.39E-008, 
 55.10,   1.52E-008, 
 55.20,   1.62E-008, 
 55.30,   1.54E-008, 
 55.40,   1.26E-008, 
 55.50,   6.26E-009, 
 55.60,   3.26E-009, 
 55.70,   3.85E-009, 
 55.80,   6.56E-009, 
 55.90,   9.25E-009, 
 56.00,   1.26E-008, 
 56.10,   1.39E-008, 
 56.20,   1.49E-008, 
 56.30,   1.43E-008, 
 56.40,   1.20E-008, 
 56.50,   6.31E-009, 
 56.60,   2.94E-009, 
 56.70,   2.61E-009, 
 56.80,   3.75E-009, 
 56.90,   5.08E-009, 
 57.00,   6.65E-009, 
 57.10,   7.90E-009, 
 57.20,   8.70E-009, 
 57.30,   8.51E-009, 
 57.40,   7.41E-009, 
 57.50,   4.17E-009, 
 57.60,   2.22E-009, 
 57.70,   2.57E-009, 
 57.80,   4.54E-009, 
 57.90,   6.30E-009, 
 58.00,   8.81E-009, 
 58.10,   9.85E-009, 
 58.20,   1.09E-008, 
 58.30,   1.04E-008, 
 58.40,   8.44E-009, 
 58.50,   4.28E-009, 
 58.60,   1.84E-009, 
 58.70,   9.24E-010, 
 58.80,   6.55E-010, 
 58.90,   5.88E-010, 
 59.00,   5.02E-010, 
 59.10,   4.64E-010, 
 59.20,   5.91E-010, 
 59.30,   5.79E-010, 
 59.40,   4.45E-010, 
 59.50,   1.66E-010, 
 59.60,   1.59E-010, 
 59.70,   1.81E-010, 
 59.80,   4.75E-010, 
 59.90,   7.46E-010, 
 60.00,   9.72E-010, 
 60.10,   1.02E-009, 
 60.20,   1.10E-009, 
 60.30,   1.02E-009, 
 60.40,   6.83E-010, 
 60.50,   1.93E-010, 
 60.60,  -8.01E-011, 
 60.70,  -2.31E-010, 
 60.80,  -1.97E-010, 
 60.90,  -6.55E-011, 
 61.00,  -3.48E-011, 
 61.10,  -3.48E-011, 
 61.20,   2.51E-011, 
 61.30,   5.99E-011, 
 61.40,   3.24E-011, 
 61.50,  -5.50E-011, 
 61.60,  -1.21E-010, 
 61.70,  -5.58E-011, 
 61.80,   4.94E-011, 
 61.90,   1.42E-010, 
 62.00,   6.72E-011, 
 62.10,   8.90E-012, 
 62.20,   9.22E-011, 
 62.30,   2.01E-010, 
 62.40,   1.16E-010, 
 62.50,   7.77E-011, 
 62.60,   8.66E-011, 
 62.70,   1.67E-010, 
 62.80,   2.06E-010, 
 62.90,   3.30E-010, 
 63.00,   3.89E-010, 
 63.10,   7.11E-010, 
 63.20,   8.31E-010, 
 63.30,   9.51E-010, 
 63.40,   1.22E-009, 
 63.50,   1.46E-009, 
 63.60,   2.98E-009, 
 63.70,   1.02E-008, 
 63.80,   1.76E-008, 
 63.90,   2.63E-008, 
 64.00,   3.06E-008, 
 64.10,   3.46E-008, 
 64.20,   3.32E-008, 
 64.30,   2.86E-008, 
 64.40,   1.47E-008, 
 64.50,   5.46E-009, 
 64.60,   2.47E-009, 
 64.70,   1.45E-009, 
 64.80,   1.09E-009, 
 64.90,   1.08E-009, 
 65.00,   1.40E-009, 
