Nov 19, 2020  02:21:42 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.24E-004 
Filament Current, 1.00, mAmps


 45.10,   1.11E-006, 
 45.20,   1.02E-006, 
 45.30,   8.91E-007, 
 45.40,   2.16E-007, 
 45.50,   2.85E-008, 
 45.60,   3.06E-008, 
 45.70,   7.95E-008, 
 45.80,   1.19E-007, 
 45.90,   1.60E-007, 
 46.00,   1.70E-007, 
 46.10,   1.84E-007, 
 46.20,   1.67E-007, 
 46.30,   1.51E-007, 
 46.40,   5.15E-008, 
 46.50,   1.22E-008, 
 46.60,   5.88E-009, 
 46.70,   6.12E-009, 
 46.80,   7.92E-009, 
 46.90,   1.07E-008, 
 47.00,   1.29E-008, 
 47.10,   1.42E-008, 
 47.20,   1.40E-008, 
 47.30,   1.37E-008, 
 47.40,   9.19E-009, 
 47.50,   5.34E-009, 
 47.60,   7.37E-009, 
 47.70,   1.52E-008, 
 47.80,   2.36E-008, 
 47.90,   3.21E-008, 
 48.00,   3.60E-008, 
 48.10,   3.87E-008, 
 48.20,   3.68E-008, 
 48.30,   3.09E-008, 
 48.40,   1.31E-008, 
 48.50,   4.93E-009, 
 48.60,   2.69E-009, 
 48.70,   2.82E-009, 
 48.80,   3.58E-009, 
 48.90,   4.56E-009, 
 49.00,   5.35E-009, 
 49.10,   5.88E-009, 
 49.20,   5.97E-009, 
 49.30,   5.96E-009, 
 49.40,   4.27E-009, 
 49.50,   2.90E-009, 
 49.60,   4.05E-009, 
 49.70,   1.13E-008, 
 49.80,   2.00E-008, 
 49.90,   2.96E-008, 
 50.00,   3.48E-008, 
 50.10,   3.97E-008, 
 50.20,   3.85E-008, 
