Nov 19, 2020  04:33:55 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.24E-004 
Filament Current, 1.00, mAmps


 52.70,   5.44E-009, 
 52.80,   8.04E-009, 
 52.90,   1.09E-008, 
 53.00,   1.27E-008, 
 53.10,   1.37E-008, 
 53.20,   1.36E-008, 
 53.30,   1.23E-008, 
 53.40,   6.84E-009, 
 53.50,   3.21E-009, 
 53.60,   2.89E-009, 
 53.70,   4.95E-009, 
 53.80,   7.31E-009, 
 53.90,   1.02E-008, 
 54.00,   1.21E-008, 
 54.10,   1.35E-008, 
 54.20,   1.34E-008, 
 54.30,   1.25E-008, 
 54.40,   7.56E-009, 
 54.50,   4.58E-009, 
 54.60,   6.63E-009, 
 54.70,   1.53E-008, 
 54.80,   2.45E-008, 
 54.90,   3.33E-008, 
 55.00,   3.77E-008, 
 55.10,   4.15E-008, 
 55.20,   3.97E-008, 
 55.30,   3.66E-008, 
 55.40,   1.89E-008, 
 55.50,   8.06E-009, 
 55.60,   8.37E-009, 
 55.70,   1.92E-008, 
 55.80,   3.15E-008, 
 55.90,   4.40E-008, 
 56.00,   5.02E-008, 
 56.10,   5.61E-008, 
 56.20,   5.28E-008, 
 56.30,   4.89E-008, 
 56.40,   2.47E-008, 
 56.50,   8.85E-009, 
 56.60,   5.27E-009, 
 56.70,   7.95E-009, 
 56.80,   1.23E-008, 
 56.90,   1.70E-008, 
 57.00,   2.00E-008, 
 57.10,   2.28E-008, 
 57.20,   2.27E-008, 
 57.30,   2.11E-008, 
 57.40,   1.26E-008, 
 57.50,   6.09E-009, 
 57.60,   6.03E-009, 
 57.70,   1.18E-008, 
 57.80,   1.85E-008, 
 57.90,   2.51E-008, 
 58.00,   2.94E-008, 
 58.10,   3.26E-008, 
 58.20,   3.17E-008, 
 58.30,   2.81E-008, 
 58.40,   1.41E-008, 
 58.50,   5.05E-009, 
 58.60,   2.23E-009, 
 58.70,   1.56E-009, 
 58.80,   1.69E-009, 
 58.90,   2.02E-009, 
 59.00,   2.19E-009, 
 59.10,   2.33E-009, 
 59.20,   2.35E-009, 
 59.30,   2.35E-009, 
 59.40,   1.75E-009, 
 59.50,   9.74E-010, 
 59.60,   9.91E-010, 
 59.70,   1.73E-009, 
 59.80,   2.78E-009, 
 59.90,   3.66E-009, 
 60.00,   4.50E-009, 
 60.10,   4.88E-009, 
 60.20,   5.00E-009, 
 60.30,   4.21E-009, 
 60.40,   2.17E-009, 
 60.50,   1.02E-009, 
 60.60,   5.39E-010, 
 60.70,   5.39E-010, 
 60.80,   7.98E-010, 
 60.90,   9.97E-010, 
 61.00,   1.31E-009, 
 61.10,   1.39E-009, 
 61.20,   1.38E-009, 
 61.30,   1.21E-009, 
 61.40,   7.36E-010, 
 61.50,   5.22E-010, 
 61.60,   6.42E-010, 
