#date: 26.11.2020	time: 20:03:06
#time, s	V1, V	V2, V	I, A	R, Ohm	, P,W	T, C
2.10188E+2	9.60800E-2	7.62432E-3	6.62984E-1	1.44920E-1	6.36995E-2	3.01129E+2
2.10908E+2	9.60902E-2	7.62525E-3	6.63066E-1	1.44918E-1	6.37141E-2	3.01125E+2
2.11622E+2	9.61025E-2	7.62345E-3	6.62909E-1	1.44971E-1	6.37072E-2	3.01221E+2
2.12342E+2	9.60836E-2	7.62386E-3	6.62945E-1	1.44935E-1	6.36981E-2	3.01155E+2
2.13061E+2	9.60928E-2	7.62474E-3	6.63021E-1	1.44932E-1	6.37115E-2	3.01150E+2
2.13788E+2	9.61591E-2	7.62863E-3	6.63360E-1	1.44958E-1	6.37880E-2	3.01197E+2
2.14508E+2	9.80176E-2	7.77792E-3	6.76341E-1	1.44923E-1	6.62933E-2	3.01135E+2
2.15228E+2	1.05626E-1	8.38164E-3	7.28838E-1	1.44924E-1	7.69844E-2	3.01136E+2
2.15949E+2	9.61259E-2	7.62730E-3	6.63243E-1	1.44933E-1	6.37548E-2	3.01152E+2
2.16667E+2	9.61582E-2	7.62545E-3	6.63083E-1	1.45017E-1	6.37609E-2	3.01305E+2
2.17387E+2	9.61081E-2	7.62576E-3	6.63110E-1	1.44935E-1	6.37302E-2	3.01157E+2
2.18101E+2	9.60832E-2	7.62249E-3	6.62826E-1	1.44960E-1	6.36864E-2	3.01201E+2
2.18821E+2	9.60435E-2	7.62309E-3	6.62877E-1	1.44889E-1	6.36650E-2	3.01072E+2
2.19542E+2	9.79759E-2	7.77734E-3	6.76291E-1	1.44872E-1	6.62602E-2	3.01042E+2
2.20262E+2	1.05589E-1	8.37961E-3	7.28662E-1	1.44908E-1	7.69386E-2	3.01106E+2
2.20988E+2	1.05582E-1	8.37775E-3	7.28500E-1	1.44930E-1	7.69162E-2	3.01147E+2
2.21707E+2	1.05553E-1	8.37687E-3	7.28424E-1	1.44906E-1	7.68872E-2	3.01103E+2
2.22428E+2	1.05532E-1	8.37184E-3	7.27986E-1	1.44964E-1	7.68259E-2	3.01209E+2
2.23147E+2	1.05517E-1	8.37468E-3	7.28233E-1	1.44894E-1	7.68406E-2	3.01081E+2
2.23867E+2	1.05515E-1	8.37392E-3	7.28167E-1	1.44905E-1	7.68326E-2	3.01101E+2
2.24587E+2	1.05502E-1	8.37580E-3	7.28330E-1	1.44855E-1	7.68404E-2	3.01010E+2
2.25301E+2	1.05500E-1	8.37498E-3	7.28259E-1	1.44866E-1	7.68315E-2	3.01031E+2
2.26020E+2	1.05543E-1	8.37537E-3	7.28293E-1	1.44918E-1	7.68659E-2	3.01124E+2
2.26741E+2	1.05543E-1	8.37334E-3	7.28117E-1	1.44953E-1	7.68476E-2	3.01189E+2
2.27466E+2	1.05559E-1	8.37445E-3	7.28213E-1	1.44957E-1	7.68697E-2	3.01196E+2
2.28187E+2	1.05570E-1	8.37447E-3	7.28215E-1	1.44971E-1	7.68776E-2	3.01221E+2
2.28907E+2	1.05595E-1	8.37460E-3	7.28226E-1	1.45004E-1	7.68973E-2	3.01281E+2
2.29626E+2	1.05614E-1	8.37365E-3	7.28144E-1	1.45046E-1	7.69021E-2	3.01357E+2
2.30346E+2	1.05601E-1	8.37735E-3	7.28465E-1	1.44964E-1	7.69269E-2	3.01209E+2
2.31066E+2	1.05622E-1	8.37348E-3	7.28129E-1	1.45059E-1	7.69061E-2	3.01381E+2
2.31705E+2	1.05626E-1	8.37438E-3	7.28207E-1	1.45049E-1	7.69173E-2	3.01363E+2
2.32360E+2	1.05637E-1	8.37588E-3	7.28337E-1	1.45038E-1	7.69390E-2	3.01343E+2
2.33080E+2	1.05639E-1	8.37381E-3	7.28158E-1	1.45077E-1	7.69218E-2	3.01414E+2
2.33805E+2	1.05665E-1	8.37592E-3	7.28341E-1	1.45076E-1	7.69598E-2	3.01412E+2
2.34525E+2	1.05640E-1	8.37322E-3	7.28106E-1	1.45088E-1	7.69169E-2	3.01435E+2
2.35246E+2	1.05689E-1	8.37535E-3	7.28291E-1	1.45120E-1	7.69726E-2	3.01491E+2
2.35966E+2	1.05700E-1	8.37553E-3	7.28307E-1	1.45132E-1	7.69824E-2	3.01513E+2
2.36685E+2	1.05721E-1	8.37446E-3	7.28214E-1	1.45178E-1	7.69872E-2	3.01598E+2
2.37405E+2	1.05724E-1	8.37292E-3	7.28080E-1	1.45209E-1	7.69754E-2	3.01654E+2
2.38085E+2	1.05727E-1	8.37588E-3	7.28337E-1	1.45163E-1	7.70052E-2	3.01570E+2
2.38685E+2	1.05728E-1	8.37385E-3	7.28161E-1	1.45199E-1	7.69872E-2	3.01636E+2
2.39285E+2	1.05735E-1	8.37480E-3	7.28244E-1	1.45192E-1	7.70009E-2	3.01623E+2
2.39959E+2	1.05805E-1	8.37689E-3	7.28425E-1	1.45251E-1	7.70707E-2	3.01731E+2
2.40685E+2	1.06718E-1	8.44560E-3	7.34400E-1	1.45313E-1	7.83735E-2	3.01843E+2
2.41404E+2	1.07049E-1	8.47505E-3	7.36961E-1	1.45257E-1	7.88907E-2	3.01741E+2
2.42125E+2	1.10302E-1	8.72922E-3	7.59063E-1	1.45314E-1	8.37265E-2	3.01845E+2
2.42845E+2	1.14428E-1	9.05673E-3	7.87542E-1	1.45298E-1	9.01170E-2	3.01816E+2
2.43564E+2	1.15372E-1	9.13286E-3	7.94162E-1	1.45275E-1	9.16239E-2	3.01774E+2
2.44284E+2	1.15379E-1	9.12954E-3	7.93873E-1	1.45337E-1	9.15962E-2	3.01886E+2
2.44979E+2	1.15378E-1	9.12923E-3	7.93846E-1	1.45340E-1	9.15920E-2	3.01892E+2
2.45584E+2	1.15353E-1	9.12667E-3	7.93623E-1	1.45350E-1	9.15469E-2	3.01911E+2
2.46184E+2	1.15376E-1	9.12628E-3	7.93589E-1	1.45384E-1	9.15608E-2	3.01973E+2
2.46864E+2	1.15388E-1	9.12735E-3	7.93683E-1	1.45383E-1	9.15817E-2	3.01971E+2
2.47584E+2	1.15408E-1	9.12634E-3	7.93595E-1	1.45424E-1	9.15873E-2	3.02046E+2
2.48304E+2	1.15428E-1	9.12816E-3	7.93753E-1	1.45420E-1	9.16210E-2	3.02038E+2
2.49024E+2	1.15436E-1	9.12830E-3	7.93765E-1	1.45428E-1	9.16288E-2	3.02052E+2
2.49744E+2	1.15417E-1	9.12626E-3	7.93588E-1	1.45437E-1	9.15935E-2	3.02069E+2
2.50463E+2	1.15436E-1	9.12622E-3	7.93584E-1	1.45461E-1	9.16080E-2	3.02113E+2
2.51183E+2	1.15436E-1	9.12780E-3	7.93722E-1	1.45437E-1	9.16244E-2	3.02068E+2
2.51897E+2	1.15451E-1	9.12740E-3	7.93687E-1	1.45461E-1	9.16318E-2	3.02113E+2
2.52578E+2	1.15442E-1	9.12714E-3	7.93664E-1	1.45454E-1	9.16222E-2	3.02100E+2
2.53223E+2	1.15474E-1	9.12771E-3	7.93714E-1	1.45485E-1	9.16531E-2	3.02156E+2
2.53943E+2	1.15452E-1	9.12715E-3	7.93665E-1	1.45467E-1	9.16303E-2	3.02123E+2
2.54663E+2	1.15481E-1	9.12755E-3	7.93700E-1	1.45497E-1	9.16574E-2	3.02178E+2
2.55383E+2	1.15473E-1	9.12659E-3	7.93616E-1	1.45502E-1	9.16410E-2	3.02187E+2
2.56103E+2	1.15487E-1	9.12751E-3	7.93696E-1	1.45505E-1	9.16615E-2	3.02193E+2
2.56823E+2	1.15479E-1	9.12713E-3	7.93664E-1	1.45501E-1	9.16515E-2	3.02185E+2
2.57542E+2	1.15492E-1	9.12756E-3	7.93701E-1	1.45511E-1	9.16664E-2	3.02204E+2
2.58257E+2	1.15471E-1	9.12730E-3	7.93679E-1	1.45488E-1	9.16467E-2	3.02162E+2
2.58977E+2	1.15509E-1	9.14470E-3	7.95191E-1	1.45259E-1	9.18515E-2	3.01745E+2
2.59696E+2	1.18034E-1	9.29564E-3	8.08317E-1	1.46024E-1	9.54087E-2	3.03136E+2
2.60422E+2	1.22973E-1	9.65400E-3	8.39479E-1	1.46487E-1	1.03233E-1	3.03979E+2
2.61424E+2	1.25119E-1	9.88481E-3	8.59549E-1	1.45563E-1	1.07546E-1	3.02298E+2
2.62143E+2	1.25115E-1	9.88513E-3	8.59576E-1	1.45554E-1	1.07546E-1	3.02282E+2
2.62863E+2	1.25117E-1	9.88435E-3	8.59509E-1	1.45568E-1	1.07539E-1	3.02307E+2
2.63577E+2	1.25106E-1	9.88097E-3	8.59215E-1	1.45604E-1	1.07493E-1	3.02373E+2
2.64297E+2	1.25102E-1	9.88019E-3	8.59147E-1	1.45612E-1	1.07481E-1	3.02386E+2
2.65016E+2	1.25119E-1	9.88123E-3	8.59237E-1	1.45616E-1	1.07507E-1	3.02395E+2
2.65743E+2	1.25126E-1	9.87960E-3	8.59096E-1	1.45648E-1	1.07495E-1	3.02453E+2
2.66462E+2	1.25137E-1	9.88108E-3	8.59224E-1	1.45639E-1	1.07521E-1	3.02437E+2
2.67183E+2	1.25151E-1	9.88048E-3	8.59172E-1	1.45665E-1	1.07526E-1	3.02483E+2
2.67903E+2	1.25167E-1	9.88076E-3	8.59196E-1	1.45679E-1	1.07543E-1	3.02509E+2
2.68622E+2	1.25163E-1	9.88039E-3	8.59164E-1	1.45680E-1	1.07536E-1	3.02511E+2
2.69342E+2	1.25174E-1	9.88142E-3	8.59254E-1	1.45678E-1	1.07556E-1	3.02506E+2
2.70055E+2	1.25167E-1	9.87998E-3	8.59128E-1	1.45690E-1	1.07534E-1	3.02530E+2
2.70776E+2	1.25171E-1	9.88174E-3	8.59282E-1	1.45669E-1	1.07557E-1	3.02491E+2
2.71496E+2	1.25181E-1	9.88143E-3	8.59255E-1	1.45686E-1	1.07563E-1	3.02521E+2
2.72216E+2	1.25282E-1	9.89535E-3	8.60465E-1	1.45597E-1	1.07800E-1	3.02361E+2
2.72941E+2	1.28995E-1	1.01891E-2	8.86011E-1	1.45591E-1	1.14291E-1	3.02348E+2
2.73662E+2	1.32622E-1	1.04639E-2	9.09903E-1	1.45754E-1	1.20673E-1	3.02646E+2
2.74382E+2	1.34463E-1	1.05951E-2	9.21309E-1	1.45948E-1	1.23882E-1	3.02997E+2
2.75101E+2	1.34661E-1	1.06239E-2	9.23813E-1	1.45767E-1	1.24402E-1	3.02668E+2
2.75821E+2	1.34673E-1	1.06241E-2	9.23838E-1	1.45776E-1	1.24416E-1	3.02685E+2
