#date: 26.11.2020	time: 20:46:11
#time, s	V1, V	V2, V	I, A	R, Ohm	, P,W	T, C
2.84706E+2	3.58459E+0	2.25711E-2	1.96270E+0	1.82635E+0	7.03549E+0	4.58995E+2
2.85425E+2	3.58553E+0	2.25702E-2	1.96263E+0	1.82691E+0	7.03705E+0	4.59135E+2
2.86136E+2	3.58599E+0	2.25699E-2	1.96260E+0	1.82716E+0	7.03785E+0	4.59199E+2
2.86856E+2	3.58533E+0	2.25707E-2	1.96267E+0	1.82676E+0	7.03681E+0	4.59099E+2
2.87577E+2	3.58355E+0	2.25695E-2	1.96257E+0	1.82595E+0	7.03296E+0	4.58894E+2
2.88297E+2	3.58422E+0	2.25706E-2	1.96266E+0	1.82620E+0	7.03462E+0	4.58958E+2
2.89015E+2	3.58325E+0	2.25712E-2	1.96271E+0	1.82567E+0	7.03289E+0	4.58823E+2
2.89736E+2	3.58212E+0	2.25713E-2	1.96272E+0	1.82508E+0	7.03069E+0	4.58676E+2
2.90456E+2	3.58016E+0	2.25727E-2	1.96284E+0	1.82397E+0	7.02730E+0	4.58396E+2
2.91165E+2	3.57853E+0	2.25716E-2	1.96275E+0	1.82322E+0	7.02376E+0	4.58208E+2
2.91885E+2	3.57761E+0	2.25720E-2	1.96278E+0	1.82273E+0	7.02206E+0	4.58084E+2
2.92526E+2	3.57634E+0	2.25718E-2	1.96276E+0	1.82209E+0	7.01951E+0	4.57925E+2
2.93235E+2	3.57596E+0	2.25723E-2	1.96281E+0	1.82186E+0	7.01891E+0	4.57867E+2
2.93955E+2	3.57439E+0	2.25717E-2	1.96276E+0	1.82110E+0	7.01566E+0	4.57676E+2
2.94676E+2	3.57202E+0	2.25714E-2	1.96273E+0	1.81993E+0	7.01089E+0	4.57380E+2
2.95396E+2	3.57162E+0	2.25709E-2	1.96269E+0	1.81976E+0	7.00997E+0	4.57337E+2
2.96115E+2	3.57298E+0	2.25680E-2	1.96244E+0	1.82069E+0	7.01174E+0	4.57571E+2
2.96835E+2	3.57332E+0	2.25691E-2	1.96253E+0	1.82077E+0	7.01276E+0	4.57593E+2
2.97554E+2	3.57201E+0	2.25683E-2	1.96246E+0	1.82017E+0	7.00993E+0	4.57440E+2
2.98264E+2	3.57090E+0	2.25697E-2	1.96258E+0	1.81949E+0	7.00818E+0	4.57272E+2
2.98944E+2	3.57020E+0	2.25704E-2	1.96264E+0	1.81908E+0	7.00703E+0	4.57168E+2
2.99544E+2	3.57198E+0	2.25707E-2	1.96267E+0	1.81996E+0	7.01063E+0	4.57388E+2
3.00174E+2	3.57496E+0	2.25696E-2	1.96257E+0	1.82157E+0	7.01612E+0	4.57792E+2
3.00894E+2	3.58024E+0	2.25692E-2	1.96254E+0	1.82429E+0	7.02638E+0	4.58477E+2
3.01614E+2	3.58456E+0	2.25698E-2	1.96260E+0	1.82644E+0	7.03504E+0	4.59017E+2
3.02335E+2	3.58678E+0	2.25705E-2	1.96265E+0	1.82752E+0	7.03961E+0	4.59288E+2
3.03055E+2	3.58819E+0	2.25689E-2	1.96251E+0	1.82837E+0	7.04188E+0	4.59502E+2
3.03774E+2	3.58859E+0	2.25697E-2	1.96258E+0	1.82850E+0	7.04292E+0	4.59536E+2
3.04494E+2	3.58982E+0	2.25704E-2	1.96265E+0	1.82907E+0	7.04554E+0	4.59679E+2
3.05214E+2	3.58823E+0	2.25712E-2	1.96271E+0	1.82820E+0	7.04265E+0	4.59460E+2
3.05843E+2	3.58678E+0	2.25718E-2	1.96276E+0	1.82742E+0	7.04000E+0	4.59263E+2
3.06443E+2	3.58555E+0	2.25701E-2	1.96261E+0	1.82693E+0	7.03705E+0	4.59140E+2
3.07043E+2	3.58423E+0	2.25719E-2	1.96277E+0	1.82611E+0	7.03501E+0	4.58934E+2
